(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell division all].InitialValue	(Nam uptake).v
100	100	0	0	7.5835e-07	6.50236e-07	0.00377422	2.27083	100	4.5814e-05	0.0001
100	100	0	0	7.58282e-07	6.49873e-07	0.0037735	2.16183	100	4.79906e-05	0.0001
100	100	0	0	7.58213e-07	6.49488e-07	0.00377278	2.05779	100	5.02706e-05	0.0001
100	100	0	0	7.58143e-07	6.4908e-07	0.00377207	1.95846	100	5.26589e-05	0.0001
100	100	0	0	7.58073e-07	6.48645e-07	0.00377137	1.86364	100	5.51607e-05	0.0001
100	100	0	0	7.58002e-07	6.48185e-07	0.00377066	1.77313	100	5.77814e-05	0.0001
100	100	0	0	7.5793e-07	6.47696e-07	0.00376996	1.68673	100	6.05266e-05	0.0001
100	100	0	0	7.57858e-07	6.47179e-07	0.00376926	1.60425	100	6.34021e-05	0.0001
100	100	0	0	7.57784e-07	6.4663e-07	0.00376856	1.52551	100	6.64143e-05	0.0001
100	100	0	0	7.5771e-07	6.46048e-07	0.00376786	1.45035	100	6.95696e-05	0.0001
100	100	0	0	7.57634e-07	6.45431e-07	0.00376716	1.3786	100	7.28749e-05	0.0001
100	100	0	0	7.57557e-07	6.44778e-07	0.00376645	1.31011	100	7.63371e-05	0.0001
100	100	0	0	7.57478e-07	6.44086e-07	0.00376574	1.24473	100	7.99638e-05	0.0001
100	100	0	0	7.57397e-07	6.43353e-07	0.00376502	1.18232	100	8.37629e-05	0.0001
100	100	0	0	7.57315e-07	6.42577e-07	0.00376429	1.12274	100	8.77424e-05	0.0001
100	100	0	0	7.57231e-07	6.41754e-07	0.00376356	1.06587	100	9.1911e-05	0.0001
100	100	0	0	7.57144e-07	6.40882e-07	0.00376281	1.01158	100	9.62776e-05	0.0001
100	100	0	0	7.57055e-07	6.39958e-07	0.00376205	0.959754	100	0.000100852	0.0001
100	100	0	0	7.56963e-07	6.38979e-07	0.00376128	0.910286	100	0.000105643	0.0001
100	100	0	0	7.56869e-07	6.3794e-07	0.00376049	0.863065	100	0.000110662	0.0001
100	100	0	0	7.56772e-07	6.36838e-07	0.00375968	0.81799	100	0.00011592	0.0001
100	100	0	0	7.56671e-07	6.35669e-07	0.00375886	0.774965	100	0.000121427	0.0001
100	100	0	0	7.56567e-07	6.34428e-07	0.00375801	0.733895	100	0.000127196	0.0001
100	100	0	0	7.56459e-07	6.3311e-07	0.00375713	0.694693	100	0.000133239	0.0001
100	100	0	0	7.56347e-07	6.31709e-07	0.00375623	0.657274	100	0.000139569	0.0001
100	100	0	0	7.5623e-07	6.3022e-07	0.0037553	0.621558	100	0.0001462	0.0001
100	100	0	0	7.56109e-07	6.28636e-07	0.00375434	0.587468	100	0.000153146	0.0001
100	100	0	0	7.55983e-07	6.2695e-07	0.00375334	0.55493	100	0.000160422	0.0001
100	100	0	0	7.55851e-07	6.25154e-07	0.0037523	0.523874	100	0.000168043	0.0001
100	100	0	0	7.55713e-07	6.23238e-07	0.00375122	0.494234	100	0.000176027	0.0001
100	100	0	0	7.55569e-07	6.21195e-07	0.00375009	0.465946	100	0.00018439	0.0001
100	100	0	0	7.55419e-07	6.19013e-07	0.00374892	0.438948	100	0.00019315	0.0001
100	100	0	0	7.55261e-07	6.1668e-07	0.00374769	0.413184	100	0.000202326	0.0001
100	100	0	0	7.55095e-07	6.14183e-07	0.0037464	0.388597	100	0.000211939	0.0001
100	100	0	0	7.54921e-07	6.11509e-07	0.00374505	0.365135	100	0.000222008	0.0001
100	100	0	0	7.54737e-07	6.0864e-07	0.00374363	0.342747	100	0.000232555	0.0001
100	100	0	0	7.54544e-07	6.0556e-07	0.00374214	0.321386	100	0.000243604	0.0001
100	100	0	0	7.5434e-07	6.02247e-07	0.00374056	0.301007	100	0.000255177	0.0001
100	100	0	0	7.54125e-07	5.9868e-07	0.00373889	0.281564	100	0.000267301	0.0001
100	100	0	0	7.53897e-07	5.94833e-07	0.00373713	0.263018	100	0.00028	0.0001
