(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	0	0	5e-06	0.4	2.7e-06	1.79167	1.17462e-05	0.0001	33.6188	1.6248	10	10	0.001
10	0	0	5e-06	0.4	2.82828e-06	1.79092	1.23622e-05	0.0001	31.9404	1.62412	10	10	0.001
10	0	0	5e-06	0.4	2.96265e-06	1.79013	1.30136e-05	0.0001	30.3383	1.62341	10	10	0.001
10	0	0	5e-06	0.4	3.1034e-06	1.78929	1.37029e-05	0.0001	28.809	1.62265	10	10	0.001
10	0	0	5e-06	0.4	3.25084e-06	1.78842	1.44325e-05	0.0001	27.3493	1.62186	10	10	0.001
10	0	0	5e-06	0.4	3.40529e-06	1.78749	1.52054e-05	0.0001	25.9559	1.62102	10	10	0.001
10	0	0	5e-06	0.4	3.56707e-06	1.78652	1.60245e-05	0.0001	24.6258	1.62013	10	10	0.001
10	0	0	5e-06	0.4	3.73654e-06	1.78549	1.68931e-05	0.0001	23.3563	1.6192	10	10	0.001
10	0	0	5e-06	0.4	3.91406e-06	1.78441	1.78149e-05	0.0001	22.1446	1.61822	10	10	0.001
10	0	0	5e-06	0.4	4.10001e-06	1.78326	1.87936e-05	0.0001	20.988	1.61718	10	10	0.001
10	0	0	5e-06	0.4	4.2948e-06	1.78205	1.98336e-05	0.0001	19.8841	1.61608	10	10	0.001
10	0	0	5e-06	0.4	4.49885e-06	1.78077	2.09396e-05	0.0001	18.8305	1.61492	10	10	0.001
10	0	0	5e-06	0.4	4.71258e-06	1.77942	2.21166e-05	0.0001	17.8249	1.6137	10	10	0.001
10	0	0	5e-06	0.4	4.93648e-06	1.778	2.33703e-05	0.0001	16.8652	1.6124	10	10	0.001
10	0	0	5e-06	0.4	5.17101e-06	1.77649	2.4707e-05	0.0001	15.9493	1.61103	10	10	0.001
10	0	0	5e-06	0.4	5.41668e-06	1.77489	2.61334e-05	0.0001	15.0753	1.60958	10	10	0.001
10	0	0	5e-06	0.4	5.67402e-06	1.77319	2.76572e-05	0.0001	14.2412	1.60805	10	10	0.001
10	0	0	5e-06	0.4	5.94359e-06	1.77139	2.92866e-05	0.0001	13.4453	1.60642	10	10	0.001
10	0	0	5e-06	0.4	6.22597e-06	1.76949	3.10311e-05	0.0001	12.6859	1.60469	10	10	0.001
10	0	0	5e-06	0.4	6.52176e-06	1.76746	3.29009e-05	0.0001	11.9613	1.60285	10	10	0.001
10	0	0	5e-06	0.4	6.8316e-06	1.76531	3.49078e-05	0.0001	11.2699	1.6009	10	10	0.001
10	0	0	5e-06	0.4	7.15617e-06	1.76301	3.70646e-05	0.0001	10.6104	1.59882	10	10	0.001
10	0	0	5e-06	0.4	7.49615e-06	1.76057	3.9386e-05	0.0001	9.98128	1.5966	10	10	0.001
10	0	0	5e-06	0.4	7.85229e-06	1.75797	4.18883e-05	0.0001	9.3812	1.59424	10	10	0.001
10	0	0	5e-06	0.4	8.22535e-06	1.75519	4.45901e-05	0.0001	8.80891	1.59172	10	10	0.001
10	0	0	5e-06	0.4	8.61613e-06	1.75222	4.75125e-05	0.0001	8.26318	1.58903	10	10	0.001
10	0	0	5e-06	0.4	9.02548e-06	1.74904	5.06793e-05	0.0001	7.74285	1.58614	10	10	0.001
10	0	0	5e-06	0.4	9.45427e-06	1.74563	5.41179e-05	0.0001	7.24684	1.58305	10	10	0.001
10	0	0	5e-06	0.4	9.90344e-06	1.74196	5.78594e-05	0.0001	6.7741	1.57973	10	10	0.001
10	0	0	5e-06	0.4	1.03739e-05	1.73802	6.19398e-05	0.0001	6.32366	1.57616	10	10	0.001
10	0	0	5e-06	0.4	1.08668e-05	1.73377	6.64006e-05	0.0001	5.89456	1.5723	10	10	0.001
10	0	0	5e-06	0.4	1.13831e-05	1.72918	7.12897e-05	0.0001	5.48595	1.56814	10	10	0.001
10	0	0	5e-06	0.4	1.19239e-05	1.72421	7.6663e-05	0.0001	5.09699	1.56363	10	10	0.001
10	0	0	5e-06	0.4	1.24904e-05	1.71882	8.25855e-05	0.0001	4.72692	1.55874	10	10	0.001
10	0	0	5e-06	0.4	1.30838e-05	1.71295	8.91337e-05	0.0001	4.375	1.55342	10	10	0.001
10	0	0	5e-06	0.4	1.37054e-05	1.70655	9.63971e-05	0.0001	4.04057	1.54761	10	10	0.001
10	0	0	5e-06	0.4	1.43565e-05	1.69954	0.000104482	0.0001	3.72301	1.54126	10	10	0.001
10	0	0	5e-06	0.4	1.50386e-05	1.69185	0.000113513	0.0001	3.42177	1.53428	10	10	0.001
10	0	0	5e-06	0.4	1.57531e-05	1.68337	0.000123638	0.0001	3.13635	1.5266	10	10	0.001
10	0	0	5e-06	0.4	1.65015e-05	1.67401	0.000135035	0.0001	2.86631	1.5181	10	10	0.001
10	0	0	5e-06	0.4	1.72855e-05	1.66362	0.000147912	0.0001	2.61126	1.50869	10	10	0.001
10	0	0	5e-06	0.4	1.81067e-05	1.65207	0.000162517	0.0001	2.37091	1.49821	10	10	0.001
10	0	0	5e-06	0.4	1.89669e-05	1.63918	0.000179142	0.0001	2.14502	1.48652	10	10	0.001
