(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	1e-05	0.000156933	3.60322e-05	1e-05	4.93716e-05	0.000142335	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000164334	3.77205e-05	1.04713e-05	5.16987e-05	0.000149047	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000172084	3.94873e-05	1.09648e-05	5.41355e-05	0.000156077	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0001802	4.13363e-05	1.14815e-05	5.66872e-05	0.000163437	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000188699	4.32713e-05	1.20226e-05	5.93592e-05	0.000171146	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000197599	4.52963e-05	1.25893e-05	6.21571e-05	0.000179218	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000206919	4.74153e-05	1.31826e-05	6.5087e-05	0.000187671	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000216679	4.96327e-05	1.38038e-05	6.81549e-05	0.000196523	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0002269	5.1953e-05	1.44544e-05	7.13676e-05	0.000205793	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000237603	5.43808e-05	1.51356e-05	7.47316e-05	0.000215501	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000248812	5.6921e-05	1.58489e-05	7.82543e-05	0.000225667	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000260551	5.95788e-05	1.65959e-05	8.19431e-05	0.000236313	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000272843	6.23594e-05	1.7378e-05	8.58058e-05	0.000247462	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000285716	6.52685e-05	1.8197e-05	8.98506e-05	0.000259138	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000299197	6.83119e-05	1.90546e-05	9.40861e-05	0.000271365	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000313316	7.14956e-05	1.99526e-05	9.85213e-05	0.00028417	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000328101	7.48259e-05	2.0893e-05	0.000103166	0.00029758	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000343585	7.83094e-05	2.18776e-05	0.000108029	0.000311623	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0003598	8.19531e-05	2.29087e-05	0.000113122	0.000326331	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000376782	8.57639e-05	2.39883e-05	0.000118455	0.000341733	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000394567	8.97495e-05	2.51189e-05	0.000124039	0.000357863	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000413193	9.39175e-05	2.63027e-05	0.000129887	0.000374757	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0004327	9.82761e-05	2.75423e-05	0.00013601	0.000392449	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000453129	0.000102834	2.88403e-05	0.000142422	0.000410977	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000474524	0.000107599	3.01995e-05	0.000149137	0.000430383	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000496932	0.000112581	3.16228e-05	0.000156168	0.000450706	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0005204	0.00011779	3.31131e-05	0.000163531	0.000471991	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000544979	0.000123235	3.46737e-05	0.000171242	0.000494284	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000570722	0.000128926	3.63078e-05	0.000179315	0.000517631	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000597683	0.000134875	3.80189e-05	0.00018777	0.000542085	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000625922	0.000141092	3.98107e-05	0.000196624	0.000567696	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000655498	0.000147589	4.16869e-05	0.000205895	0.000594521	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000686475	0.000154377	4.36516e-05	0.000215604	0.000622617	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000718921	0.00016147	4.57088e-05	0.000225771	0.000652045	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000752906	0.00016888	4.7863e-05	0.000236418	0.000682868	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000788502	0.00017662	5.01187e-05	0.000247566	0.000715153	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000825786	0.000184705	5.24807e-05	0.000259241	0.000748969	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00086484	0.000193148	5.49541e-05	0.000271467	0.00078439	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000905749	0.000201964	5.7544e-05	0.00028427	0.000821493	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000948599	0.00021117	6.0256e-05	0.000297678	0.000860358	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.000993486	0.00022078	6.30957e-05	0.000311718	0.000901069	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00104051	0.000230811	6.60693e-05	0.00032642	0.000943715	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00108976	0.00024128	6.91831e-05	0.000341817	0.000988389	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00114136	0.000252204	7.24436e-05	0.000357941	0.00103519	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00119541	0.000263601	7.58578e-05	0.000374826	0.00108421	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00125204	0.000275491	7.94328e-05	0.000392508	0.00113557	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00131137	0.000287892	8.31764e-05	0.000411026	0.00118938	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00137352	0.000300823	8.70964e-05	0.000430417	0.00124575	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00143864	0.000314305	9.12011e-05	0.000450725	0.00130481	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00150687	0.000328359	9.54993e-05	0.000471992	0.00136669	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00157835	0.000343006	0.0001	0.000494264	0.00143153	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00165325	0.000358267	0.000104713	0.000517588	0.00149946	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00173173	0.000374165	0.000109648	0.000542014	0.00157064	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00181397	0.000390722	0.000114815	0.000567595	0.00164523	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00190014	0.000407962	0.000120226	0.000594384	0.00172339	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00199045	0.000425909	0.000125893	0.00062244	0.00180529	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00208509	0.000444586	0.000131826	0.000651823	0.00189113	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00218428	0.000464017	0.000138038	0.000682594	0.00198109	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00228823	0.000484228	0.000144544	0.000714822	0.00207537	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00239719	0.000505244	0.000151356	0.000748573	0.00217419	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00251139	0.000527089	0.000158489	0.000783921	0.00227777	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00263111	0.00054979	0.000165959	0.000820942	0.00238635	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0027566	0.000573371	0.00017378	0.000859715	0.00250017	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00288817	0.000597859	0.00018197	0.000900323	0.0026195	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0030261	0.000623279	0.000190546	0.000942854	0.0027446	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00317073	0.000649657	0.000199526	0.000987398	0.00287577	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00332238	0.000677017	0.00020893	0.00103405	0.00301332	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00348141	0.000705385	0.000218776	0.00108292	0.00315755	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00364819	0.000734785	0.000229087	0.0011341	0.00330882	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00382311	0.000765243	0.000239883	0.00118771	0.00346747	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0040066	0.00079678	0.000251189	0.00124385	0.00363389	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00419908	0.00082942	0.000263027	0.00130267	0.00380847	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00440102	0.000863185	0.000275423	0.00136427	0.00399162	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00461291	0.000898096	0.000288403	0.00142879	0.0041838	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00483526	0.000934172	0.000301995	0.00149638	0.00438547	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00506863	0.000971432	0.000316228	0.00156718	0.00459712	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00531358	0.00100989	0.000331131	0.00164134	0.00481929	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00557073	0.00104957	0.000346737	0.00171903	0.00505252	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00584073	0.00109047	0.000363078	0.00180041	0.0052974	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00612427	0.00113262	0.000380189	0.00188566	0.00555457	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00642207	0.00117601	0.000398107	0.00197496	0.00582467	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00673492	0.00122066	0.000416869	0.00206852	0.00610841	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00706363	0.00126657	0.000436516	0.00216653	0.00640654	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00740908	0.00131373	0.000457088	0.00226922	0.00671986	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00777221	0.00136216	0.00047863	0.00237679	0.00704921	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00815401	0.00141184	0.000501187	0.00248951	0.00739549	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00855554	0.00146276	0.000524807	0.0026076	0.00775967	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00897793	0.00151491	0.000549541	0.00273132	0.00814277	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0094224	0.00156827	0.00057544	0.00286097	0.00854589	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.00989024	0.00162283	0.00060256	0.00299681	0.00897021	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0103828	0.00167856	0.000630957	0.00313915	0.00941699	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0109017	0.00173542	0.000660693	0.00328831	0.00988757	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0114484	0.00179339	0.000691831	0.00344461	0.0103834	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0120247	0.00185242	0.000724436	0.00360841	0.0109061	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0126324	0.00191247	0.000758578	0.00378007	0.0114573	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0132735	0.00197349	0.000794328	0.00395998	0.0120387	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0139502	0.00203542	0.000831764	0.00414854	0.0126525	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0146648	0.00209821	0.000870964	0.00434617	0.0133006	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0154199	0.00216178	0.000912011	0.00455333	0.0139855	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0162182	0.00222606	0.000954993	0.00477047	0.0147095	10	10	0.001
10	10	0	5e-06	0.4	1e-05	0.0170626	0.00229098	0.001	0.0049981	0.0154754	10	10	0.001
