(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	10	10	5e-06	0.4	2.7e-06	0.00032129	7.28157e-05	0.0001	0.000494423	0.000291724	10	10	0.001
0	10	10	5e-06	0.4	2.82828e-06	0.00032129	7.28156e-05	0.0001	0.000494422	0.000291724	10	10	0.001
0	10	10	5e-06	0.4	2.96265e-06	0.00032129	7.28156e-05	0.0001	0.000494421	0.000291724	10	10	0.001
0	10	10	5e-06	0.4	3.1034e-06	0.000321289	7.28155e-05	0.0001	0.000494421	0.000291723	10	10	0.001
0	10	10	5e-06	0.4	3.25084e-06	0.000321289	7.28154e-05	0.0001	0.00049442	0.000291723	10	10	0.001
0	10	10	5e-06	0.4	3.40529e-06	0.000321288	7.28153e-05	0.0001	0.000494419	0.000291722	10	10	0.001
0	10	10	5e-06	0.4	3.56707e-06	0.000321288	7.28152e-05	0.0001	0.000494418	0.000291722	10	10	0.001
0	10	10	5e-06	0.4	3.73654e-06	0.000321287	7.28151e-05	0.0001	0.000494417	0.000291722	10	10	0.001
0	10	10	5e-06	0.4	3.91406e-06	0.000321287	7.2815e-05	0.0001	0.000494416	0.000291721	10	10	0.001
0	10	10	5e-06	0.4	4.10001e-06	0.000321286	7.28149e-05	0.0001	0.000494415	0.000291721	10	10	0.001
0	10	10	5e-06	0.4	4.2948e-06	0.000321286	7.28148e-05	0.0001	0.000494414	0.00029172	10	10	0.001
0	10	10	5e-06	0.4	4.49885e-06	0.000321285	7.28147e-05	0.0001	0.000494413	0.00029172	10	10	0.001
0	10	10	5e-06	0.4	4.71258e-06	0.000321285	7.28145e-05	0.0001	0.000494412	0.000291719	10	10	0.001
0	10	10	5e-06	0.4	4.93648e-06	0.000321284	7.28144e-05	0.0001	0.000494411	0.000291719	10	10	0.001
0	10	10	5e-06	0.4	5.17101e-06	0.000321284	7.28143e-05	0.0001	0.000494409	0.000291718	10	10	0.001
0	10	10	5e-06	0.4	5.41668e-06	0.000321283	7.28141e-05	0.0001	0.000494408	0.000291718	10	10	0.001
0	10	10	5e-06	0.4	5.67402e-06	0.000321282	7.2814e-05	0.0001	0.000494406	0.000291717	10	10	0.001
0	10	10	5e-06	0.4	5.94359e-06	0.000321282	7.28138e-05	0.0001	0.000494405	0.000291716	10	10	0.001
0	10	10	5e-06	0.4	6.22597e-06	0.000321281	7.28136e-05	0.0001	0.000494403	0.000291716	10	10	0.001
0	10	10	5e-06	0.4	6.52176e-06	0.00032128	7.28134e-05	0.0001	0.000494402	0.000291715	10	10	0.001
0	10	10	5e-06	0.4	6.8316e-06	0.000321279	7.28133e-05	0.0001	0.0004944	0.000291714	10	10	0.001
0	10	10	5e-06	0.4	7.15617e-06	0.000321278	7.28131e-05	0.0001	0.000494398	0.000291713	10	10	0.001
0	10	10	5e-06	0.4	7.49615e-06	0.000321277	7.28129e-05	0.0001	0.000494396	0.000291713	10	10	0.001
0	10	10	5e-06	0.4	7.85229e-06	0.000321276	7.28127e-05	0.0001	0.000494395	0.000291712	10	10	0.001
0	10	10	5e-06	0.4	8.22535e-06	0.000321275	7.28124e-05	0.0001	0.000494392	0.000291711	10	10	0.001
0	10	10	5e-06	0.4	8.61613e-06	0.000321274	7.28122e-05	0.0001	0.00049439	0.00029171	10	10	0.001
0	10	10	5e-06	0.4	9.02548e-06	0.000321273	7.2812e-05	0.0001	0.000494388	0.000291709	10	10	0.001
0	10	10	5e-06	0.4	9.45427e-06	0.000321272	7.28117e-05	0.0001	0.000494386	0.000291708	10	10	0.001
0	10	10	5e-06	0.4	9.90344e-06	0.000321271	7.28114e-05	0.0001	0.000494383	0.000291707	10	10	0.001
0	10	10	5e-06	0.4	1.03739e-05	0.00032127	7.28112e-05	0.0001	0.000494381	0.000291706	10	10	0.001
0	10	10	5e-06	0.4	1.08668e-05	0.000321268	7.28109e-05	0.0001	0.000494378	0.000291704	10	10	0.001
0	10	10	5e-06	0.4	1.13831e-05	0.000321267	7.28106e-05	0.0001	0.000494375	0.000291703	10	10	0.001
0	10	10	5e-06	0.4	1.19239e-05	0.000321265	7.28102e-05	0.0001	0.000494372	0.000291702	10	10	0.001
0	10	10	5e-06	0.4	1.24904e-05	0.000321264	7.28099e-05	0.0001	0.000494369	0.0002917	10	10	0.001
0	10	10	5e-06	0.4	1.30838e-05	0.000321262	7.28095e-05	0.0001	0.000494366	0.000291699	10	10	0.001
