(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	0.0001	0.4	2.7e-06	0.0246221	4.98217e-06	0.0001	36.9901	0.0223393	10	0.001
0	0	100	0.0001	0.4	2.82828e-06	0.0246136	5.21781e-06	0.0001	35.3103	0.0223317	10	0.001
0	0	100	0.0001	0.4	2.96265e-06	0.0246048	5.46454e-06	0.0001	33.7067	0.0223236	10	0.001
0	0	100	0.0001	0.4	3.1034e-06	0.0245955	5.72288e-06	0.0001	32.1758	0.0223152	10	0.001
0	0	100	0.0001	0.4	3.25084e-06	0.0245858	5.99338e-06	0.0001	30.7144	0.0223064	10	0.001
0	0	100	0.0001	0.4	3.40529e-06	0.0245756	6.27658e-06	0.0001	29.3192	0.0222972	10	0.001
0	0	100	0.0001	0.4	3.56707e-06	0.024565	6.57309e-06	0.0001	27.9874	0.0222876	10	0.001
0	0	100	0.0001	0.4	3.73654e-06	0.0245539	6.88353e-06	0.0001	26.7159	0.0222775	10	0.001
0	0	100	0.0001	0.4	3.91406e-06	0.0245422	7.20854e-06	0.0001	25.5021	0.0222669	10	0.001
0	0	100	0.0001	0.4	4.10001e-06	0.02453	7.54878e-06	0.0001	24.3434	0.0222558	10	0.001
0	0	100	0.0001	0.4	4.2948e-06	0.0245172	7.90498e-06	0.0001	23.2372	0.0222442	10	0.001
0	0	100	0.0001	0.4	4.49885e-06	0.0245039	8.27786e-06	0.0001	22.1812	0.0222321	10	0.001
0	0	100	0.0001	0.4	4.71258e-06	0.0244899	8.6682e-06	0.0001	21.173	0.0222194	10	0.001
0	0	100	0.0001	0.4	4.93648e-06	0.0244752	9.07679e-06	0.0001	20.2107	0.0222061	10	0.001
0	0	100	0.0001	0.4	5.17101e-06	0.0244599	9.50448e-06	0.0001	19.2919	0.0221922	10	0.001
0	0	100	0.0001	0.4	5.41668e-06	0.0244439	9.95215e-06	0.0001	18.4149	0.0221777	10	0.001
0	0	100	0.0001	0.4	5.67402e-06	0.0244271	1.04207e-05	0.0001	17.5776	0.0221624	10	0.001
0	0	100	0.0001	0.4	5.94359e-06	0.0244095	1.09111e-05	0.0001	16.7783	0.0221465	10	0.001
0	0	100	0.0001	0.4	6.22597e-06	0.0243911	1.14244e-05	0.0001	16.0152	0.0221298	10	0.001
0	0	100	0.0001	0.4	6.52176e-06	0.0243719	1.19615e-05	0.0001	15.2868	0.0221124	10	0.001
0	0	100	0.0001	0.4	6.8316e-06	0.0243518	1.25236e-05	0.0001	14.5914	0.0220941	10	0.001
0	0	100	0.0001	0.4	7.15617e-06	0.0243307	1.31118e-05	0.0001	13.9275	0.022075	10	0.001
0	0	100	0.0001	0.4	7.49615e-06	0.0243087	1.37273e-05	0.0001	13.2938	0.022055	10	0.001
