(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	100	0.001	0.4	2.7e-06	0.000792704	0.000176812	0.0001	0.000494411	0.000719846	10	0.001
0	10	100	0.001	0.4	2.82828e-06	0.000792702	0.000176812	0.0001	0.000494409	0.000719844	10	0.001
0	10	100	0.001	0.4	2.96265e-06	0.0007927	0.000176811	0.0001	0.000494408	0.000719842	10	0.001
0	10	100	0.001	0.4	3.1034e-06	0.000792698	0.000176811	0.0001	0.000494407	0.00071984	10	0.001
0	10	100	0.001	0.4	3.25084e-06	0.000792696	0.00017681	0.0001	0.000494405	0.000719838	10	0.001
0	10	100	0.001	0.4	3.40529e-06	0.000792693	0.00017681	0.0001	0.000494404	0.000719836	10	0.001
0	10	100	0.001	0.4	3.56707e-06	0.000792691	0.000176809	0.0001	0.000494402	0.000719834	10	0.001
0	10	100	0.001	0.4	3.73654e-06	0.000792688	0.000176809	0.0001	0.0004944	0.000719832	10	0.001
0	10	100	0.001	0.4	3.91406e-06	0.000792686	0.000176808	0.0001	0.000494399	0.000719829	10	0.001
0	10	100	0.001	0.4	4.10001e-06	0.000792683	0.000176808	0.0001	0.000494397	0.000719827	10	0.001
0	10	100	0.001	0.4	4.2948e-06	0.00079268	0.000176807	0.0001	0.000494395	0.000719824	10	0.001
0	10	100	0.001	0.4	4.49885e-06	0.000792677	0.000176806	0.0001	0.000494393	0.000719821	10	0.001
0	10	100	0.001	0.4	4.71258e-06	0.000792674	0.000176806	0.0001	0.000494391	0.000719818	10	0.001
0	10	100	0.001	0.4	4.93648e-06	0.00079267	0.000176805	0.0001	0.000494389	0.000719815	10	0.001
0	10	100	0.001	0.4	5.17101e-06	0.000792667	0.000176804	0.0001	0.000494386	0.000719812	10	0.001
0	10	100	0.001	0.4	5.41668e-06	0.000792663	0.000176803	0.0001	0.000494384	0.000719809	10	0.001
0	10	100	0.001	0.4	5.67402e-06	0.000792659	0.000176802	0.0001	0.000494381	0.000719805	10	0.001
0	10	100	0.001	0.4	5.94359e-06	0.000792655	0.000176802	0.0001	0.000494379	0.000719801	10	0.001
0	10	100	0.001	0.4	6.22597e-06	0.000792651	0.000176801	0.0001	0.000494376	0.000719798	10	0.001
0	10	100	0.001	0.4	6.52176e-06	0.000792646	0.0001768	0.0001	0.000494373	0.000719794	10	0.001
0	10	100	0.001	0.4	6.8316e-06	0.000792642	0.000176799	0.0001	0.00049437	0.000719789	10	0.001
0	10	100	0.001	0.4	7.15617e-06	0.000792637	0.000176798	0.0001	0.000494366	0.000719785	10	0.001
0	10	100	0.001	0.4	7.49615e-06	0.000792632	0.000176797	0.0001	0.000494363	0.00071978	10	0.001
0	10	100	0.001	0.4	7.85229e-06	0.000792626	0.000176795	0.0001	0.00049436	0.000719775	10	0.001
0	10	100	0.001	0.4	8.22535e-06	0.000792621	0.000176794	0.0001	0.000494356	0.00071977	10	0.001
0	10	100	0.001	0.4	8.61613e-06	0.000792615	0.000176793	0.0001	0.000494352	0.000719765	10	0.001
0	10	100	0.001	0.4	9.02548e-06	0.000792609	0.000176792	0.0001	0.000494348	0.000719759	10	0.001
0	10	100	0.001	0.4	9.45427e-06	0.000792602	0.00017679	0.0001	0.000494344	0.000719753	10	0.001
0	10	100	0.001	0.4	9.90344e-06	0.000792595	0.000176789	0.0001	0.000494339	0.000719747	10	0.001
