(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	5e-06	0.4	3.01701e-05	0.0229093	5.32649e-05	0.0001	3.27082	0.0207856	10	0.001
0	0	100	5e-06	0.4	3.16035e-05	0.0228247	5.56644e-05	0.0001	3.12065	0.0207088	10	0.001
0	0	100	5e-06	0.4	3.31049e-05	0.0227365	5.81652e-05	0.0001	2.97731	0.0206288	10	0.001
0	0	100	5e-06	0.4	3.46777e-05	0.0226447	6.0771e-05	0.0001	2.84048	0.0205456	10	0.001
0	0	100	5e-06	0.4	3.63252e-05	0.0225492	6.34855e-05	0.0001	2.70988	0.0204589	10	0.001
0	0	100	5e-06	0.4	3.8051e-05	0.0224497	6.63122e-05	0.0001	2.58521	0.0203686	10	0.001
0	0	100	5e-06	0.4	3.98588e-05	0.0223462	6.92551e-05	0.0001	2.46621	0.0202748	10	0.001
0	0	100	5e-06	0.4	4.17525e-05	0.0222386	7.23179e-05	0.0001	2.35263	0.0201772	10	0.001
0	0	100	5e-06	0.4	4.37361e-05	0.0221268	7.55044e-05	0.0001	2.24422	0.0200757	10	0.001
0	0	100	5e-06	0.4	4.5814e-05	0.0220105	7.88185e-05	0.0001	2.14074	0.0199702	10	0.001
0	0	100	5e-06	0.4	4.79906e-05	0.0218897	8.2264e-05	0.0001	2.04197	0.0198607	10	0.001
0	0	100	5e-06	0.4	5.02706e-05	0.0217643	8.58447e-05	0.0001	1.9477	0.0197469	10	0.001
0	0	100	5e-06	0.4	5.26589e-05	0.0216342	8.95644e-05	0.0001	1.85773	0.0196288	10	0.001
0	0	100	5e-06	0.4	5.51607e-05	0.0214991	9.34268e-05	0.0001	1.77186	0.0195063	10	0.001
0	0	100	5e-06	0.4	5.77814e-05	0.0213591	9.74356e-05	0.0001	1.6899	0.0193793	10	0.001
0	0	100	5e-06	0.4	6.05266e-05	0.021214	0.000101594	0.0001	1.61169	0.0192477	10	0.001
0	0	100	5e-06	0.4	6.34021e-05	0.0210637	0.000105906	0.0001	1.53704	0.0191113	10	0.001
0	0	100	5e-06	0.4	6.64143e-05	0.0209081	0.000110375	0.0001	1.4658	0.0189702	10	0.001
