(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
1	0	100	5e-06	0.4	2.7e-06	0.163761	9.28435e-06	0.0001	36.7246	0.148559	10	10	0.001
1	0	100	5e-06	0.4	2.82828e-06	0.163696	9.72801e-06	0.0001	35.0449	0.1485	10	10	0.001
1	0	100	5e-06	0.4	2.96265e-06	0.163629	1.0193e-05	0.0001	33.4414	0.148439	10	10	0.001
1	0	100	5e-06	0.4	3.1034e-06	0.163558	1.06803e-05	0.0001	31.9106	0.148375	10	10	0.001
1	0	100	5e-06	0.4	3.25084e-06	0.163484	1.11911e-05	0.0001	30.4493	0.148308	10	10	0.001
1	0	100	5e-06	0.4	3.40529e-06	0.163407	1.17265e-05	0.0001	29.0543	0.148238	10	10	0.001
1	0	100	5e-06	0.4	3.56707e-06	0.163325	1.22877e-05	0.0001	27.7226	0.148164	10	10	0.001
1	0	100	5e-06	0.4	3.73654e-06	0.16324	1.28759e-05	0.0001	26.4513	0.148087	10	10	0.001
1	0	100	5e-06	0.4	3.91406e-06	0.163151	1.34925e-05	0.0001	25.2376	0.148006	10	10	0.001
1	0	100	5e-06	0.4	4.10001e-06	0.163057	1.41389e-05	0.0001	24.079	0.147921	10	10	0.001
1	0	100	5e-06	0.4	4.2948e-06	0.162959	1.48165e-05	0.0001	22.973	0.147832	10	10	0.001
1	0	100	5e-06	0.4	4.49885e-06	0.162856	1.55268e-05	0.0001	21.9172	0.147739	10	10	0.001
1	0	100	5e-06	0.4	4.71258e-06	0.162749	1.62715e-05	0.0001	20.9092	0.147641	10	10	0.001
1	0	100	5e-06	0.4	4.93648e-06	0.162636	1.70523e-05	0.0001	19.947	0.147539	10	10	0.001
1	0	100	5e-06	0.4	5.17101e-06	0.162518	1.78709e-05	0.0001	19.0285	0.147431	10	10	0.001
1	0	100	5e-06	0.4	5.41668e-06	0.162394	1.87292e-05	0.0001	18.1516	0.147319	10	10	0.001
1	0	100	5e-06	0.4	5.67402e-06	0.162264	1.96291e-05	0.0001	17.3146	0.147201	10	10	0.001
1	0	100	5e-06	0.4	5.94359e-06	0.162128	2.05728e-05	0.0001	16.5155	0.147077	10	10	0.001
1	0	100	5e-06	0.4	6.22597e-06	0.161985	2.15624e-05	0.0001	15.7527	0.146948	10	10	0.001
1	0	100	5e-06	0.4	6.52176e-06	0.161835	2.26001e-05	0.0001	15.0245	0.146812	10	10	0.001
1	0	100	5e-06	0.4	6.8316e-06	0.161678	2.36884e-05	0.0001	14.3293	0.14667	10	10	0.001
