(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	-0.001128662	-0.00023827600000000002	7.94328e-05	0.000392623	0.00061638	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001099712	-0.000231831	8.31764e-05	0.000411146	0.00064466	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001069292	-0.00022508499999999998	8.70964e-05	0.000430544	0.0006742	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001037374	-0.00021802800000000002	9.12011e-05	0.000450858	0.000705053	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0010038780000000001	-0.000210649	9.54993e-05	0.000472131	0.000737274	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0009687620000000001	-0.000202941	0.0001	0.000494409	0.00077092	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.000931961	-0.000194891	0.000104713	0.00051774	0.000806048	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0008934079999999999	-0.00018649	0.000109648	0.000542174	0.000842719	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0008530449999999999	-0.00017772700000000003	0.000114815	0.000567762	0.000880996	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00081079	-0.00016859200000000001	0.000120226	0.000594559	0.000920943	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0007665900000000002	-0.00015907499999999998	0.000125893	0.000622624	0.000962627	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00072036	-0.00014916399999999997	0.000131826	0.000652015	0.00100612	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0006720399999999998	-0.000138848	0.000138038	0.000682796	0.00105148	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0006215400000000001	-0.00012811799999999998	0.000144544	0.000715033	0.0010988	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0005687800000000001	-0.00011695999999999999	0.000151356	0.000748795	0.00114813	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00051369	-0.00010536599999999997	0.000158489	0.000784153	0.00119957	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0004561700000000001	-9.3325e-05	0.000165959	0.000821185	0.00125319	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0003961399999999999	-8.082599999999999e-05	0.00017378	0.00085997	0.00130906	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00033353000000000007	-6.785800000000001e-05	0.00018197	0.00090059	0.00136728	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00026822	-5.441199999999999e-05	0.000190546	0.000943134	0.00142793	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0002001399999999999	-4.0477000000000026e-05	0.000199526	0.000987693	0.00149109	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00012919000000000016	-2.6044000000000024e-05	0.00020893	0.00103436	0.00155686	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-5.52599999999999e-05	-1.1105000000000023e-05	0.000218776	0.00108324	0.00162532	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	2.172999999999997e-05	4.34999999999997e-06	0.000229087	0.00113444	0.00169656	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	0.00010187999999999994	2.0326999999999997e-05	0.000239883	0.00118806	0.00177068	10	200	0.001
