(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	0	100	1e-07	0.4	1e-05	0.0776101	2.81848e-05	0.000104713	10.3232	0.0704077	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0777524	2.69201e-05	0.000109648	10.8164	0.0705368	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0778884	2.57119e-05	0.000114815	11.3329	0.0706601	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0780183	2.45576e-05	0.000120226	11.8738	0.070778	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0781424	2.34551e-05	0.000125893	12.4401	0.0708906	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.078261	2.24018e-05	0.000131826	13.0332	0.0709981	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0783743	2.13957e-05	0.000138038	13.6543	0.0711009	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0784826	2.04346e-05	0.000144544	14.3046	0.0711991	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.078586	1.95166e-05	0.000151356	14.9857	0.071293	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0786849	1.86397e-05	0.000158489	15.6988	0.0713826	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0787793	1.78022e-05	0.000165959	16.4455	0.0714683	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0788694	1.70022e-05	0.00017378	17.2275	0.0715501	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0789556	1.6238e-05	0.00018197	18.0463	0.0716282	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0790379	1.55082e-05	0.000190546	18.9038	0.0717029	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0791165	1.4811e-05	0.000199526	19.8017	0.0717742	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0791916	1.41452e-05	0.00020893	20.7419	0.0718423	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0792634	1.35093e-05	0.000218776	21.7264	0.0719074	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0793319	1.29019e-05	0.000229087	22.7573	0.0719696	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0793974	1.23218e-05	0.000239883	23.8368	0.072029	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0794599	1.17677e-05	0.000251189	24.9672	0.0720857	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0795196	1.12385e-05	0.000263027	26.1509	0.0721399	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0795767	1.07331e-05	0.000275423	27.3904	0.0721916	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0796311	1.02504e-05	0.000288403	28.6884	0.0722411	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0796832	9.7894e-06	0.000301995	30.0475	0.0722883	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0797329	9.3491e-06	0.000316228	31.4706	0.0723334	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0797804	8.92859e-06	0.000331131	32.9609	0.0723764	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0798257	8.52698e-06	0.000346737	34.5214	0.0724176	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0798691	8.14342e-06	0.000363078	36.1554	0.0724569	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0799104	7.7771e-06	0.000380189	37.8665	0.0724944	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.07995	7.42725e-06	0.000398107	39.6582	0.0725303	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0799877	7.09313e-06	0.000416869	41.5343	0.0725645	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0800237	6.77403e-06	0.000436516	43.4989	0.0725972	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0800582	6.46928e-06	0.000457088	45.5561	0.0726284	10	10	0.001
