(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	0.000842704	0.0001843002	7.94328e-05	0.000392607	0.00102824	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0008957370000000001	0.0001954924	8.31764e-05	0.000411129	0.00107659	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0009512839999999999	0.00020716260000000003	8.70964e-05	0.000430526	0.00112721	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0010094449999999999	0.00021932959999999997	9.12011e-05	0.000450839	0.00118019	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001070349	0.00023201150000000002	9.54993e-05	0.000472111	0.00123567	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001134127	0.0002452262	0.0001	0.000494389	0.00129374	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0012009070000000002	0.0002589926	0.000104713	0.000517718	0.00135453	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001270828	0.0002733306	0.000109648	0.000542151	0.00141818	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0013440409999999998	0.0002882593	0.000114815	0.000567738	0.0014848	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001420695	0.0003037994	0.000120226	0.000594534	0.00155455	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001500949	0.00031997009999999997	0.000125893	0.000622598	0.00162756	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001584963	0.00033679420000000003	0.000131826	0.000651988	0.00170399	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0016729269999999998	0.0003542897	0.000138038	0.000682767	0.00178399	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001765019	0.0003724796	0.000144544	0.000715003	0.00186774	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0018614290000000002	0.00039138579999999996	0.000151356	0.000748763	0.0019554	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.001962348	0.0004110272	0.000158489	0.00078412	0.00204716	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0020679929999999997	0.0004314268999999999	0.000165959	0.000821151	0.00214322	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0021785859999999997	0.00045260480000000006	0.00017378	0.000859933	0.00224375	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.002294354	0.00047458390000000003	0.00018197	0.000900552	0.00234899	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.002415528	0.0004973841000000001	0.000190546	0.000943094	0.00245914	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.002542377	0.0005210265	0.000199526	0.00098765	0.00257442	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0026751410000000002	0.0005455309999999999	0.00020893	0.00103432	0.00269509	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.0028141090000000004	0.0005709185	0.000218776	0.0010832	0.00282138	10	0.001
